id,user_id,"address",is_business_hour,is_crowd,"created_at","updated_at",latitude,longitude,"genre"
3,1,"kobe station",NULL,NULL,"2016-10-07 09:15:28","2016-10-07 09:15:28",34.6798,135.178,"???"
7,1,"???",NULL,NULL,"2016-10-13 06:49:12","2016-10-13 06:49:12",34.6945,135.195,"???"
11,1,"???????????5-3-24",NULL,NULL,"2016-10-13 09:31:55","2016-10-13 09:31:55",34.7182,135.243,"???"
13,1,"?????????????????",NULL,NULL,"2016-10-13 09:33:55","2016-10-13 09:33:55",34.7186,135.243,"???"
14,1,"????????????????????",NULL,NULL,"2016-10-13 09:35:18","2016-10-13 09:35:18",34.7123,135.24,"???"
15,1,NULL,NULL,NULL,"2016-10-14 08:36:52","2016-10-14 08:36:52",NULL,NULL,"???"
16,1,NULL,NULL,1,"2016-10-14 08:37:30","2016-10-14 08:37:30",NULL,NULL,"???"
17,1,NULL,NULL,0,"2016-10-14 08:37:42","2016-10-14 08:37:42",NULL,NULL,"???"
18,1,NULL,NULL,1,"2016-10-15 03:28:35","2016-10-15 03:28:35",NULL,NULL,"???"
19,1,NULL,NULL,1,"2016-10-15 07:10:28","2016-10-15 07:10:28",NULL,NULL,"???"
20,1,NULL,NULL,1,"2016-10-15 07:11:43","2016-10-15 07:11:43",0,0,"???"
21,1,NULL,NULL,1,"2016-10-15 08:10:40","2016-10-15 08:10:40",0,0,"???"
22,1,NULL,NULL,1,"2016-10-15 08:18:45","2016-10-15 08:18:45",0,0,"???"
23,1,NULL,NULL,1,"2016-10-15 09:51:17","2016-10-15 09:51:17",0,0,"???"
24,1,NULL,NULL,1,"2016-10-15 10:45:34","2016-10-15 10:45:34",0,0,"???"
27,1,"???",NULL,NULL,"2016-10-15 11:47:03","2016-10-15 11:47:03",35.6813,139.766,"???"
28,1,"???",NULL,NULL,"2016-10-15 11:50:00","2016-10-15 11:50:00",34.768,136.131,"???"
29,1,"?????",NULL,NULL,"2016-10-15 11:50:47","2016-10-15 11:50:47",35.6806,139.762,"???"
33,1,NULL,NULL,0,"2016-10-17 03:06:05","2016-10-17 03:06:05",34.6948,135.2,"???"
36,1,NULL,NULL,1,"2016-10-17 03:09:52","2016-10-17 03:09:52",34.6976,135.195,"???"
38,1,NULL,NULL,0,"2016-10-17 07:06:27","2016-10-17 07:06:27",34.693,135.199,"???"
57,2,NULL,NULL,1,"2016-10-17 14:21:32","2016-10-17 14:21:32",34.6941,135.197,"???"
59,2,NULL,NULL,0,"2016-10-17 15:10:42","2016-10-17 15:10:42",34.6964,135.192,"???"
60,2,NULL,NULL,0,"2016-10-17 15:10:51","2016-10-17 15:10:51",34.6925,135.194,"???"
61,2,NULL,NULL,1,"2016-10-17 15:11:27","2016-10-18 07:23:24",34.695,135.194,"???"
63,2,NULL,NULL,1,"2016-10-18 08:18:39","2016-10-18 08:18:39",34.6957,135.197,"???"
64,2,NULL,NULL,0,"2016-10-18 08:19:02","2016-10-18 08:19:02",34.6924,135.196,"???"
65,2,NULL,NULL,0,"2016-10-18 08:19:22","2016-10-18 08:19:22",34.6945,135.191,"???"
66,2,NULL,NULL,1,"2016-10-18 08:19:47","2016-10-18 08:19:47",34.6927,135.191,"???"
67,2,NULL,NULL,1,"2016-10-18 08:20:18","2016-10-18 08:20:18",34.6918,135.19,"???"
69,2,NULL,NULL,0,"2016-10-18 08:21:59","2016-10-18 08:21:59",34.6946,135.199,"???"
70,2,NULL,NULL,1,"2016-10-18 08:22:05","2016-10-18 08:22:05",34.6965,135.189,"???"
71,1,NULL,NULL,1,"2016-10-19 08:22:02","2016-10-19 08:22:02",34.6925,135.2,"???"
72,1,NULL,NULL,0,"2016-10-19 08:22:38","2016-10-19 08:22:38",34.6934,135.2,"???"
73,1,NULL,NULL,1,"2016-10-19 08:29:37","2016-10-19 08:29:37",34.6966,135.193,"???"
74,1,NULL,NULL,0,"2016-10-19 08:29:50","2016-10-19 08:29:50",34.695,135.195,"???"
75,1,NULL,NULL,0,"2016-10-19 08:30:17","2016-10-19 08:30:17",34.6948,135.194,"???"
77,2,NULL,NULL,0,"2016-10-20 15:07:47","2016-10-20 15:07:47",34.6955,135.198,"???"
78,15,NULL,NULL,0,"2016-10-21 07:35:28","2016-10-21 07:35:28",34.6962,135.198,"???"
89,0,"???????????1-1-12 ???????? 2F",NULL,1,"2016-10-22 16:45:24","2016-10-27 23:19:03",34.7134,135.243,"???"
90,0,"???????????3-4-21 ????????? 1F",NULL,1,"2016-10-22 16:45:31","2016-10-27 23:19:38",34.7166,135.239,"???"
91,0,"???????????1-1-5",NULL,1,"2016-10-22 16:45:37","2016-10-27 23:19:28",34.7179,135.239,"???"
92,0,"???????????4-1-2 ????3??",NULL,1,"2016-10-22 16:45:45","2016-10-27 23:19:42",34.7134,135.239,"???"
93,0,"???????????5-1-1 ???????5??1?? 101",NULL,1,"2016-10-22 16:45:50","2016-10-27 23:19:50",34.7119,135.238,"???"
94,0,"???????????4-1-45 ????3??7F",NULL,0,"2016-10-22 16:45:56","2016-10-27 23:19:07",34.714,135.24,"???"
95,0,"???????????4-1-45 ????3?? 5F",NULL,1,"2016-10-22 16:46:03","2016-10-27 23:19:32",34.714,135.24,"???"
96,0,"???????????4-1-1 ???????3?? ??",NULL,0,"2016-10-22 16:46:08","2016-10-27 23:19:15",34.7135,135.24,"???"
97,0,"????????????1-2-10 ????????? 2?",NULL,1,"2016-10-22 16:46:14","2016-10-27 23:19:11",34.7312,135.243,"???"
98,0,"???????????2-3-19 ????1F",NULL,1,"2016-10-22 16:46:18","2016-10-27 23:19:19",34.7169,135.238,"???"
99,0,"???????????2-6-4 ????? 6F",NULL,0,"2016-10-22 16:46:26","2016-10-27 23:19:23",34.7204,135.234,"???"
100,0,"???????????5-4-16 ?????????II 3F",NULL,1,"2016-10-22 16:46:31","2016-10-27 23:19:47",34.7152,135.238,"???"
106,2,NULL,NULL,1,"2016-10-24 07:17:38","2016-10-24 07:17:38",34.697,135.2,"???"
108,18,NULL,NULL,0,"2016-10-25 10:10:47","2016-10-25 10:10:47",34.6966,135.196,"???"
109,16,NULL,NULL,1,"2016-10-26 07:22:47","2016-10-26 07:22:47",34.6945,135.193,"???"
110,16,NULL,NULL,0,"2016-10-26 16:35:51","2016-10-26 16:35:51",34.6972,135.197,"???"
112,16,NULL,NULL,1,"2016-10-28 14:29:34","2016-10-28 14:29:34",34.7225,135.236,"???"
113,16,NULL,NULL,1,"2016-10-28 14:32:33","2016-10-28 14:32:33",34.7146,135.242,"???"
114,0,"??????????2-4-1 ????????? 6F",NULL,0,"2016-10-28 17:07:20","2016-11-07 11:11:20",35.6839,139.767,"??"
115,0,"?????????2-2 ?????2 2F",NULL,0,"2016-10-28 17:07:22","2016-11-07 11:22:07",35.6748,139.766,"???"
116,0,"?????????1-4-1 ?????? 4F",NULL,1,"2016-10-28 17:07:28","2016-11-07 11:32:35",35.6829,139.775,"????"
117,0,"????????1-2-3",NULL,0,"2016-10-28 17:07:31","2016-11-07 11:33:46",35.6751,139.768,"???????"
118,0,"?????????1-6-16 H.T????? 1?3F",NULL,1,"2016-10-28 17:07:36","2016-11-07 11:07:24",35.6813,139.77,"???"
119,0,"????????2-7-14 ???????? 1F",NULL,0,"2016-10-28 17:07:40","2016-11-07 11:35:38",35.6769,139.771,"????"
120,0,"??????????1-9-1 ?????????? B1F",NULL,0,"2016-10-28 17:07:43","2016-11-07 11:34:48",35.6818,139.767,"??????"
121,0,"??????????1-5-1 ?????????? 5F",NULL,1,"2016-10-28 17:07:47","2016-11-07 11:42:19",35.6773,139.765,"?????"
122,0,"????????2-5-19 PUZZLE?? 8F",NULL,1,"2016-10-28 17:07:50","2016-11-07 11:11:00",35.6721,139.771,"??"
123,0,"????????2-4-6 ??????? 8?",NULL,0,"2016-10-28 17:07:55","2016-11-07 11:44:28",35.6721,139.771,"?????????????"
124,0,"????????2-2-14 ??????? 10?",NULL,1,"2016-10-28 17:07:58","2016-11-07 11:24:51",35.6744,139.765,"????"
125,0,"?????????3-2-16 ????? 7F",NULL,0,"2016-10-28 17:08:02","2016-11-07 11:07:32",35.6806,139.771,"???"
126,0,"????????2-2-14 ??????? 12?",NULL,0,"2016-10-28 17:08:05","2016-11-07 11:25:56",35.6744,139.765,"??????"
127,0,"?????????1-6-7 ????3F",NULL,0,"2016-10-28 17:08:09","2016-11-07 11:21:24",35.6827,139.775,"???"
128,0,"??????????1-5-1 ????????????",NULL,0,"2016-10-28 17:08:14","2016-11-07 11:08:36",35.6859,139.764,"????"
129,0,"??????????2-7-2 JP??? 6F",NULL,0,"2016-10-28 17:08:17","2016-11-07 11:37:32",35.6832,139.77,"?????????"
130,0,"??????????1-8-2 ?????? B1F",NULL,1,"2016-10-28 17:08:23","2016-11-07 11:19:57",35.6823,139.77,"???"
131,0,"?????????1-5-10 RISM ??? B1?1F??2F",NULL,0,"2016-10-28 17:08:27","2016-11-07 11:11:36",35.6817,139.77,"???"
132,0,"????????1-8-19 ???? ??? B1F",NULL,0,"2016-10-28 17:08:33","2016-11-07 11:07:14",35.6743,139.769,"????"
133,0,"??????????2-4-1 ????????? 36F",NULL,1,"2016-10-28 17:08:50","2016-11-07 12:01:25",35.6839,139.767,"?????"
134,0,"?????????2-6-4 ???? 1F",NULL,0,"2016-10-28 17:08:55","2016-11-07 11:22:21",35.6778,139.768,"?????"
135,0,"??????????1-8-2 ???? B1F",NULL,1,"2016-10-28 17:09:00","2016-11-07 11:26:51",35.6773,139.765,"??"
136,0,"?????????1-8-9 ????? ?????",NULL,0,"2016-10-28 17:09:04","2016-11-07 11:23:04",35.6794,139.77,"???"
137,0,"????????2-4-6 ??????? a? 7F",NULL,1,"2016-10-28 17:09:14","2016-11-07 11:22:13",35.6721,139.771,"????"
138,0,"?????????2-7-1 ???????? B1F",NULL,0,"2016-10-28 17:09:19","2016-11-07 11:10:43",35.6804,139.772,"????"
139,0,"??????????3-3-1 ????? B1F",NULL,1,"2016-10-28 17:18:08","2016-11-07 11:35:18",35.6774,139.763,"?????????????"
140,0,"?????????1-2-10 ????? B1F",NULL,1,"2016-10-28 17:18:24","2016-11-07 11:12:03",35.6833,139.774,"???"
141,0,"??????????3-1-1 ???? B2F",NULL,1,"2016-10-28 17:19:47","2016-11-07 11:30:25",35.6767,139.761,"??????"
142,0,"??????????2-5-12 1F",NULL,0,"2016-10-28 17:19:52","2016-11-07 11:06:20",35.686,139.768,"???"
143,0,"?????????1-8-7 ?????? ??",NULL,0,"2016-10-28 17:19:57","2016-11-07 11:06:47",35.6805,139.771,"???"
144,0,"????????3-1 ??????????",NULL,1,"2016-10-28 17:20:01","2016-11-07 11:08:11",35.676,139.769,"????"
145,0,"?????????2-2-15 ???????? 3F",NULL,1,"2016-10-28 17:20:06","2016-11-07 11:56:03",35.6804,139.772,"???"
146,0,"??????????1-6-4 ?????? 5F",NULL,0,"2016-10-28 17:20:09","2016-11-07 11:38:38",35.6835,139.767,"?????"
147,0,"??????????2-7-2 KITTE 5F",NULL,0,"2016-10-28 17:20:13","2016-11-07 11:31:36",35.6798,139.765,"?????"
148,0,"??????????2-1-1 ???????? B2F",NULL,0,"2016-10-28 17:20:16","2016-11-07 11:24:40",35.6792,139.762,"???"
149,0,"????????2-5-19 PUZZLE?? 5F",NULL,0,"2016-10-28 17:20:20","2016-11-07 11:07:08",35.6721,139.771,"?????????"
150,0,"??????????2-2-3 ???????? 1F",NULL,0,"2016-10-28 17:20:27","2016-11-07 11:33:05",35.6773,139.765,"????"
151,0,"??????????2-7-3 ????TOKIA 2?",NULL,0,"2016-10-28 17:20:32","2016-11-07 11:31:53",35.6786,139.765,"????"
152,0,"??????????2-7-3 ????TOKIA 1F",NULL,1,"2016-10-28 17:20:35","2016-11-07 11:34:33",35.6786,139.765,"???????"
153,0,"????????1-8-19 ???? ???B1F",NULL,0,"2016-10-28 17:20:51","2016-11-07 11:29:04",35.6743,139.769,"?????"
154,0,"????????2-6-6 JBS?? 1F",NULL,0,"2016-10-28 17:20:54","2016-11-07 11:17:05",35.6766,139.771,"???????"
155,0,"??????????1-5-1 ???????????? B1F",NULL,1,"2016-10-28 17:21:00","2016-11-07 11:23:50",35.6859,139.764,"???????"
156,0,"??????????1-1-1 ????? B1F",NULL,0,"2016-10-28 17:21:03","2016-11-07 11:27:47",35.6852,139.762,"?????????"
157,0,"?????????2-2 ?????2 B1F",NULL,0,"2016-10-28 17:21:15","2016-11-07 11:09:38",35.6748,139.766,"?????????"
158,0,"??????????2-4-1 ????????? 5F",NULL,1,"2016-10-28 17:21:19","2016-11-07 11:45:02",35.6839,139.767,"??????"
159,0,"??????????1-9-1 ????? 12F",NULL,0,"2016-10-28 17:21:26","2016-11-07 11:30:12",35.6818,139.767,"?????"
160,0,"??????????1-9-1 ???????????? B1F",NULL,1,"2016-10-28 17:21:32","2016-11-07 11:35:57",35.6818,139.767,"????"
161,0,"?????????1-7-5 ????????? ??",NULL,1,"2016-10-28 17:21:41","2016-11-07 11:19:43",35.6809,139.77,"???"
162,0,"?????????1-8-11 ??????? 3F",NULL,0,"2016-10-28 17:21:50","2016-11-07 11:25:05",35.6804,139.77,"???"
163,0,"????????2-3-4",NULL,1,"2016-10-28 17:21:55","2016-11-07 11:09:25",35.6746,139.766,"?????"
164,0,"????????1-5-10 ????????????? ?????????",NULL,1,"2016-10-28 17:22:27","2016-11-07 11:07:38",35.6746,139.767,"?????"
165,0,"????????1-2-3 ????????????? ?F",NULL,1,"2016-10-28 17:22:38","2016-11-07 11:40:46",35.6721,139.771,"?????????"
166,0,"??????????1-9-1 ????????? B1F",NULL,1,"2016-10-28 17:22:41","2016-11-07 11:32:24",35.6818,139.767,"????"
167,0,"??????????1-5-5 OOTEMORI B2F",NULL,1,"2016-10-28 17:22:48","2016-11-07 11:40:38",35.6856,139.766,"????????????"
168,0,"?????????1-8-9 ???? A B1F",NULL,1,"2016-10-28 17:22:52","2016-11-04 18:32:43",35.6804,139.771,"?????"
169,0,"?????????3-2-16",NULL,1,"2016-10-28 17:23:01","2016-11-07 11:21:47",35.6806,139.771,"???"
170,0,"??????????1-1-3 ????????",NULL,1,"2016-10-28 17:23:07","2016-11-07 11:13:32",35.686,139.763,"????"
171,0,"??????????2-5-13",NULL,0,"2016-10-28 17:23:11","2016-11-07 11:29:51",35.6861,139.769,"??"
172,0,"?????????3-8-16",NULL,1,"2016-10-28 17:23:18","2016-11-07 11:53:43",35.6802,139.773,"?????"
173,0,"?????????1-7-17 ?????????? B1F",NULL,1,"2016-10-28 17:23:23","2016-11-07 11:24:33",35.6811,139.77,"???"
174,0,"?????????1-6-1 ?????????? 3F",NULL,1,"2016-10-28 17:23:27","2016-11-07 11:21:18",35.6816,139.77,"??"
175,0,"?????????3-2-16 ????? B1F",NULL,0,"2016-10-28 17:23:30","2016-11-07 11:43:31",35.6806,139.771,"??????"
176,0,"?????????2-5-12 ????????? 1F",NULL,1,"2016-10-28 17:23:43","2016-11-07 11:09:30",35.6779,139.769,"??????"
177,0,"??????????1-4-1 ??????????? 2F",NULL,1,"2016-10-28 17:23:46","2016-11-07 11:17:57",35.6843,139.765,"?????????????"
178,0,"??????????3-1-1 ???? ???",NULL,1,"2016-10-28 17:23:49","2016-11-07 11:06:27",35.6767,139.761,"???????"
179,0,"??????????1-4-1 ??????????? B1F? iiyo!!?",NULL,1,"2016-10-28 17:23:55","2016-11-07 11:36:15",35.6845,139.765,"??????"
180,0,"?????????1-9-9 ?????? ??????",NULL,0,"2016-10-28 17:24:07","2016-11-07 11:44:18",35.6803,139.77,"?????"
181,0,"????????3-4-2 ???? ??",NULL,0,"2016-10-28 17:24:13","2016-11-07 11:15:58",35.6762,139.771,"??"
182,0,"??????????1-4-1 ??????????? iiyo1F",NULL,1,"2016-10-28 17:24:19","2016-11-07 11:26:14",35.6845,139.765,"???"
183,0,"??????????1-7-12 ?????? ??",NULL,1,"2016-10-28 17:24:22","2016-11-07 11:37:01",35.6838,139.768,"?????"
184,0,"?????????1-6-1 ???????2F",NULL,1,"2016-10-28 17:24:30","2016-11-07 11:12:38",35.6816,139.77,"???????"
185,0,"??????????2-5-2 ???? B1F",NULL,1,"2016-10-28 17:24:33","2016-11-07 11:08:42",35.68,139.764,"???"
186,0,"??????????1-5-1 ?????????? 6F",NULL,0,"2016-10-28 17:24:38","2016-11-07 11:37:17",35.6773,139.765,"????"
187,0,"????????2-4-18 ????????F",NULL,0,"2016-10-28 17:24:40","2016-11-07 11:20:01",35.6742,139.767,"?????"
188,0,"??????????2-7-3 ????TOKIA 3F",NULL,0,"2016-10-28 17:24:44","2016-11-07 11:24:03",35.6786,139.765,"???"
189,0,"??????????2-6-1 ??????????? B1F",NULL,1,"2016-10-28 17:24:49","2016-11-07 11:39:14",35.6773,139.765,"??"
190,0,"?????????2-1-4 ????? B1F",NULL,0,"2016-10-28 17:24:52","2016-11-07 11:14:21",35.6797,139.77,"??????"
191,0,"?????????3-2-16 ????? 6F",NULL,1,"2016-10-28 17:25:13","2016-11-07 11:18:43",35.6806,139.771,"???"
192,0,"?????????2-3-19 ????? B1F",NULL,1,"2016-10-28 17:25:25","2016-11-07 11:29:58",35.6814,139.772,"??"
193,0,"?????????1-4-16 ????????? B2F",NULL,0,"2016-10-28 17:25:30","2016-11-07 11:41:49",35.6823,139.771,"???"
194,0,"????????1-4-8",NULL,1,"2016-10-28 17:25:36","2016-11-07 11:28:06",35.6748,139.767,"?????"
195,0,"?????????3-1 ?????1 2?",NULL,0,"2016-10-28 17:25:44","2016-11-07 11:16:28",35.6753,139.767,"???"
196,0,"????????3-3-11 ????? ??",NULL,0,"2016-10-28 17:25:54","2016-11-07 11:12:57",35.6756,139.768,"?????"
197,0,"?????????3-7-7 ???? 5F",NULL,0,"2016-10-28 17:26:00","2016-11-07 11:40:59",35.6797,139.773,"??"
198,0,"?????????1-3-7 ??????????????B1",NULL,0,"2016-10-28 17:26:06","2016-11-07 11:36:32",35.6829,139.772,"???"
199,0,"??????????1-9-7 ????????????? ?????? 1?",NULL,1,"2016-10-28 17:26:12","2016-11-07 11:37:53",35.6876,139.766,"?????"
200,0,"??????????1-1-3 ?????????????? 2F",NULL,0,"2016-10-28 17:26:18","2016-11-07 11:27:33",35.6845,139.763,"????"
201,0,"??????????1-5-1 ???????????? 1F",NULL,1,"2016-10-28 17:26:23","2016-11-07 11:43:42",35.6859,139.764,"??"
203,16,NULL,NULL,1,"2016-10-28 18:20:07","2016-10-28 18:20:07",34.7248,135.237,"??????"
204,16,NULL,NULL,0,"2016-10-28 18:20:16","2016-10-28 18:20:16",34.724,135.238,"????"
205,16,NULL,NULL,1,"2016-10-29 15:12:44","2016-10-29 15:12:44",34.7169,135.241,"???????"
210,20,NULL,NULL,0,"2016-10-29 23:49:08","2016-10-29 23:49:08",34.7192,135.245,"???"
211,20,NULL,NULL,1,"2016-10-30 14:38:17","2016-10-30 14:38:17",34.7189,135.243,"??????"
212,20,NULL,NULL,1,"2016-10-30 14:40:19","2016-10-30 14:40:19",0,0,"???"
213,20,NULL,NULL,1,"2016-10-30 14:41:25","2016-10-30 14:41:25",0,0,"???"
214,20,NULL,NULL,1,"2016-10-30 14:41:43","2016-10-30 14:41:43",0,0,"???????"
215,0,"????????1-8-19 KIRARITO GINZA 7F",NULL,0,"2016-11-04 18:08:29","2016-11-07 11:11:09",35.6743,139.769,"??"
216,0,"?????????2-1 ?????? ????2???",NULL,1,"2016-11-04 18:09:08","2016-11-07 11:07:49",35.6799,139.77,"???"
217,0,"????????2-2-14 ??????? 11F",NULL,1,"2016-11-04 18:09:38","2016-11-07 11:48:19",35.6744,139.765,"????"
218,0,"??????????1-8-3 ???????????? ??",NULL,1,"2016-11-04 18:11:59","2016-11-07 11:15:20",35.6824,139.769,"?????"
219,0,"??????????1-9-1 ?????? B1F",NULL,1,"2016-11-04 18:12:55","2016-11-07 11:31:16",35.6818,139.767,"??????"
220,0,"??????????1-8-1 ??????????N? 1F",NULL,0,"2016-11-04 18:13:02","2016-11-07 11:25:43",35.6832,139.77,"?????????????"
221,0,"????????3-1 ?????????? 1F",NULL,0,"2016-11-04 18:14:31","2016-11-07 11:24:17",35.676,139.769,"?????"
222,0,"?????????1-3-7 ????????????????? B1F",NULL,1,"2016-11-04 18:14:52","2016-11-07 11:13:52",35.6829,139.772,"??"
223,0,"????????2-5-19 PUZZLE?? 6F",NULL,1,"2016-11-04 18:16:11","2016-11-04 18:16:11",35.6721,139.771,"??"
224,0,"??????????1-11-1 ????????????????????? ???",NULL,0,"2016-11-04 18:18:13","2016-11-07 11:22:32",35.6781,139.767,"????"
225,0,"?????????1-6-1 ???????????",NULL,1,"2016-11-04 18:19:05","2016-11-07 11:09:57",35.683,139.775,"??????"
226,0,"?????????1-7-13 ??????????",NULL,0,"2016-11-04 18:19:12","2016-11-07 11:11:51",35.6808,139.77,"???"
227,0,"????????3-7-1 ?????110??? ?1?",NULL,1,"2016-11-04 18:19:18","2016-11-07 11:09:05",35.6757,139.77,"??????????"
228,0,"?????????1-7-13 ?????6??2?",NULL,0,"2016-11-04 18:19:23","2016-11-07 11:09:15",35.6808,139.77,"???"
229,0,"?????????3-3-15 ??????? ??",NULL,0,"2016-11-04 18:19:37","2016-11-07 11:09:00",35.6802,139.771,"???"
230,0,"?????????2-1-4 ????? B1F",NULL,0,"2016-11-04 18:20:05","2016-11-07 11:10:07",35.6817,139.77,"???"
231,0,"?????????1-4-5 ????",NULL,0,"2016-11-04 18:20:07","2016-11-07 11:10:54",35.6825,139.772,"??"
232,0,"?????????1-7-13 ?????6????",NULL,0,"2016-11-04 18:20:15","2016-11-07 11:08:29",35.6808,139.77,"???"
233,0,"????????2-4-18 ????????? 8F",NULL,0,"2016-11-04 18:20:21","2016-11-07 11:08:17",35.6743,139.767,"???????"
234,0,"??????????1-6-2 ?????????? 3F",NULL,1,"2016-11-04 18:20:26","2016-11-07 11:06:32",35.6842,139.766,"???"
235,0,"?????????1-7-7 ????5?",NULL,0,"2016-11-04 18:20:42","2016-11-07 11:10:16",35.6809,139.771,"???"
236,0,"????????3-6-7 ????????? 1F",NULL,0,"2016-11-04 18:21:00","2016-11-07 11:11:55",35.6752,139.771,"???"
237,0,"?????????2-1-9 ?????? 1F",NULL,0,"2016-11-04 18:21:12","2016-11-07 11:10:29",35.6768,139.774,"????"
238,0,"??????????1-9-2 ?????????????? B1F",NULL,1,"2016-11-04 18:21:18","2016-11-07 11:22:42",35.6786,139.767,"???"
239,0,"??????????1-2-1 ???????? ?? 1?",NULL,0,"2016-11-04 18:21:26","2016-11-07 11:36:23",35.6826,139.763,"????"
240,0,"?????????2-2-20 ???????? ??",NULL,0,"2016-11-04 18:21:30","2016-11-07 11:33:10",35.6821,139.772,"????"
241,0,"?????????2-5-9 ??????? ???",NULL,0,"2016-11-04 18:21:51","2016-11-07 11:30:29",35.6778,139.769,"???"
242,0,"????????1-4-9 ??????? 8F?9F?10F",NULL,0,"2016-11-04 18:22:01","2016-11-07 11:42:54",35.6749,139.766,"????"
243,0,"????????2-4-18 ????????? 9F",NULL,1,"2016-11-04 18:22:19","2016-11-07 11:40:34",35.6743,139.767,"????????"
244,0,"?????????2-3-4 ???????? 2?",NULL,1,"2016-11-04 18:22:44","2016-11-07 11:44:40",35.6814,139.772,"???"
245,0,"??????????1-9-5 ????????????? ?????? B1F",NULL,1,"2016-11-04 18:22:50","2016-11-07 11:35:51",35.6859,139.768,"???"
246,0,"??????????1?5?5 ?????? B2F",NULL,0,"2016-11-04 18:23:01","2016-11-07 11:26:02",35.6859,139.768,"????"
247,0,"?????????2-1-9 ??????? ?B1F",NULL,1,"2016-11-04 18:23:16","2016-11-07 11:28:11",35.6768,139.774,"?????????"
248,0,"?????????2-2-4 ????????1F",NULL,1,"2016-11-04 18:23:23","2016-11-07 11:27:09",35.6821,139.772,"???"
249,0,"?????????1-1-1 ????1F",NULL,1,"2016-11-04 18:23:38","2016-11-07 11:42:03",35.6838,139.774,"???????"
250,0,"????????1-5-10 ????????????? 5?",NULL,1,"2016-11-04 18:24:00","2016-11-07 11:22:25",35.6746,139.767,"?????????"
251,0,"??????????1-9-1 ?????? B1F",NULL,0,"2016-11-04 18:24:07","2016-11-07 11:35:30",35.6773,139.765,"??"
252,0,"?????????1-7-10 ???? 2F",NULL,1,"2016-11-04 18:24:35","2016-11-07 11:39:41",35.6808,139.771,"???"
253,0,"????????2-9-12 ????1?? 1F",NULL,1,"2016-11-04 18:25:05","2016-11-04 18:25:05",35.677,139.772,"??????"
